Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.73678996165089E-06,-1.69193884976709E-05,0.058874742378733,0,0,0,1.65205373163014,0.00137122806828323,5.94406551760111E-08,5.25197195553193E-07,0.00175352529585921,-1.99054661336284E-10,0.00120321791667988,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/base_link.STL,,青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/青龙mini2.0_髋部_髋部外壳-1;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/青龙mini2.0_髋部_髋部电机法兰-1;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/RS06-1;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/超核IMU副本-1;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/青龙mini2.0_髋部_髋部下端盖-1;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/超核IMU副本-2;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/青龙mini2.0_髋部_上方IMU固定件-1;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/RS06-2;青龙mini2.0_身体髋部装配体-1/青龙mini2.0_髋部装配体-1/青龙mini2.0_髋部_髋部电机法兰-3,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_pitch_link,0.00335760201078564,-0.0373080226674996,-0.0624910254096332,0,0,0,0.579865989120178,0.000714644035471513,4.05464564347632E-06,1.75218189653755E-05,0.000643635900394361,-7.01416926057789E-05,0.000384782880402529,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_hip_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_hip_pitch_link.STL,,右腿总装配-1/青龙mini2.0_右腿_大腿俯仰横滚电机连接件-1;右腿总装配-1/RS02电机-3;右腿总装配-1/滑动轴承-1,right_hip_pitch_link,A_right_hip_pitch_link,right_hip_pitch_joint,revolute,0,-0.054017,0.059,0,0,0,base_link,0,1,0,36,50,-2.2689,2.2689,,,,,,,,
right_hip_roll_link,-0.0096013,-1.7563E-07,-0.060983,0,0,0,0.5592,0.00066972,2.6762E-07,2.1849E-06,0.00074417,1.2561E-09,0.00036582,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_hip_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_hip_roll_link.STL,,右腿总装配-1/青龙mini2.0_双腿_大腿横滚偏航电机连接件-1;右腿总装配-1/青龙mini2.0_双腿_RS02电机转子连接法兰-1;右腿总装配-1/青龙mini2.0_双腿_RS02电机轴承连接法兰-1;右腿总装配-1/RS00电机-3,right_hip_roll_link,A_right_hip_roll_link,right_hip_roll_joint,revolute,0.00945,-0.04,-0.074,0,0,0,right_hip_pitch_link,1,0,0,14,37.7,0.8727,-1.0472,,,,,,,,
right_hip_yaw_link,-4.23390510687766E-06,0.00413396977649125,-0.0521520218910281,0,0,0,0.521124441197031,0.000372860342323775,-9.49653941177987E-09,-2.2168830007302E-07,0.000438464335652251,9.68357623990072E-06,0.000314736433706587,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_hip_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_hip_yaw_link.STL,,右腿总装配-1/RS02电机-4;右腿总装配-1/滑动轴承-2;右腿总装配-1/青龙mini2.0_右腿_膝盖电机一体件上-1,right_hip_yaw_link,A_right_hip_yaw_link,right_hip_yaw_joint,revolute,-0.00945,0,-0.104,0,0,0,right_hip_roll_link,0,0,1,14,33,-0.8727,0.8727,,,,,,,,
right_knee_link,7.14113041347386E-06,-0.00774899527578245,-0.163319540342136,0,0,0,0.877582347126733,0.000870382035652384,3.90644244730645E-08,-7.8178795996236E-08,0.000883052099405739,4.88847192886302E-06,0.000553591473762935,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_knee_link.STL,,右腿总装配-1/青龙mini2.0_双腿_膝盖电机一体件下-1;右腿总装配-1/青龙mini2.0_双腿_小腿杆-1;右腿总装配-1/青龙mini2.0_双腿_RS02电机轴承连接法兰-3;右腿总装配-1/青龙mini2.0_双腿_RS02电机转子连接法兰-2;右腿总装配-1/RS02右脚-1/RS02电机-2;右腿总装配-1/RS02右脚-1/滑动轴承-1;右腿总装配-1/RS02右脚-1/青龙mini2.0_双脚_脚部一体件上_RS02版-1,right_knee_link,A_right_knee_link,right_knee_joint,revolute,0,0.00945,-0.056,0,0,0,right_hip_yaw_link,0,1,0,14,37.7,-0.1745,2.0499,,,,,,,,
right_foot,0.00298442847510103,-0.00986247346418476,-0.025627500432694,0,0,0,0.251342026054478,0.000238056636333116,-3.15055464416158E-07,7.1535935138258E-06,0.000301413035110417,2.13664567537724E-06,0.000331563693288264,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_foot.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/right_foot.STL,,右腿总装配-1/RS02右脚-1/青龙mini2.0_右脚_脚底板_RS02版-1;右腿总装配-1/RS02右脚-1/青龙mini2.0_双腿_RS02电机轴承连接法兰-1;右腿总装配-1/RS02右脚-1/青龙mini2.0_双腿_RS02电机转子连接法兰-1,right_foot_pitch_link,A_right_foot_pitch_link,right_foot_pitch_joint,revolute,0,0,-0.23,0,0,0,right_knee_link,0,1,0,14,37.7,-1.0472,1.0472,,,,,,,,
left_hip_pitch_link,0.0033576,0.037308,-0.062491,0,0,0,0.57987,0.00071464,-4.0561E-06,1.7521E-05,0.00064362,7.0145E-05,0.0003848,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_hip_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_hip_pitch_link.STL,,左腿总装配-1/青龙mini2.0_左腿_大腿俯仰横滚电机连接件-1;左腿总装配-1/RS02电机-1;左腿总装配-1/滑动轴承-1,left_hip_pitch_link,A_left_hip_pitch_link,left_hip_pitch_joint,revolute,0,0.053983,0.059,0,0,0,base_link,0,1,0,36,50,-2.2689,2.2689,,,,,,,,
left_hip_roll_link,-0.00960126000015139,-1.75627821480395E-07,-0.0609829126488866,0,0,0,0.559197846355238,0.000669715945465754,2.67620553624624E-07,2.18486386694633E-06,0.000744169535065949,1.25614135944153E-09,0.000365821019676071,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_hip_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_hip_roll_link.STL,,左腿总装配-1/青龙mini2.0_双腿_大腿横滚偏航电机连接件-1;左腿总装配-1/青龙mini2.0_双腿_RS02电机转子连接法兰-1;左腿总装配-1/RS00电机-1;左腿总装配-1/青龙mini2.0_双腿_RS02电机轴承连接法兰-2,left_hip_roll_link,A_left_hip_roll_link,left_hip_roll_joint,revolute,0.00945,0.04,-0.074,0,0,0,left_hip_pitch_link,1,0,0,14,37.7,-0.8727,1.0472,,,,,,,,
left_hip_yaw_link,1.8343574517167E-05,-0.00413396978427791,-0.0521438044149684,0,0,0,0.52112444037662,0.000372986360942719,-6.48692412582843E-08,-3.71872029503195E-07,0.000438464334769093,-9.7106430328799E-06,0.000314610414146614,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_hip_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_hip_yaw_link.STL,,左腿总装配-1/青龙mini2.0_左腿_膝盖电机一体件上-2;左腿总装配-1/RS02电机-2;左腿总装配-1/滑动轴承-2,left_hip_yaw_link,A_left_hip_yaw_link,left_hip_yaw_joint,revolute,-0.00945,0,-0.104,0,0,0,left_hip_roll_link,0,0,1,14,33,-0.8727,0.8727,,,,,,,,
left_knee_link,6.3236898386887E-06,0.0077489947037703,-0.163324325687469,0,0,0,0.877582347126734,0.000870489823080679,-3.43630362299185E-08,2.18038050501574E-07,0.00088305209940573,-4.85986309645318E-06,0.000553483686334647,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://qinglongmini2.0_1530/meshes/left_knee_link.STL,,左腿总装配-1/青龙mini2.0_双腿_膝盖电机一体件下-1;左腿总装配-1/青龙mini2.0_双腿_RS02电机轴承连接法兰-3;左腿总装配-1/青龙mini2.0_双腿_RS02电机转子连接法兰-2;左腿总装配-1/青龙mini2.0_双腿_小腿杆-1;左腿总装配-1/RS02左脚-1/青龙mini2.0_双脚_脚部一体件上_RS02版-1;左腿总装配-1/滑动轴承-4;左腿总装配-1/RS02左脚-1/RS02电机-1,left_knee_link,A_left_knee_link,left_knee_joint,revolute,0,-0.00945,-0.056,0,0,0,left_hip_yaw_link,0,1,0,14,37.7,-0.1745,2.0944,,,,,,,,
